Date,Close
3/2/2015,92.17
3/3/2015,91.54
3/4/2015,90.75
3/5/2015,90.74
3/6/2015,90.71
3/9/2015,90.15
3/10/2015,90.3
3/11/2015,90.15
3/12/2015,91.44
3/13/2015,90.94
3/16/2015,91.41
3/17/2015,93.02
3/18/2015,93
3/19/2015,95.21
3/20/2015,95.92
3/23/2015,95.08
3/24/2015,94.7
3/25/2015,95.46
3/26/2015,93.45
3/27/2015,93.95
3/30/2015,92.71
3/31/2015,93.01
4/1/2015,92.93
4/2/2015,94.01
4/7/2015,93.82
4/8/2015,93.61
4/9/2015,93.46
4/10/2015,93.74
4/13/2015,93.71
4/14/2015,93.41
4/15/2015,92.06
4/16/2015,92.62
4/17/2015,91.7
4/20/2015,90.95
4/21/2015,91.4
4/22/2015,90.74
4/23/2015,90.34
4/24/2015,91.72
4/27/2015,92.34
4/28/2015,92.2
4/29/2015,90.2
4/30/2015,88.5
5/1/2015,88.55
5/4/2015,87.65
5/6/2015,82.64
5/7/2015,82.77
5/8/2015,82.3
5/11/2015,81.83
5/12/2015,82.54
5/13/2015,83.63
5/14/2015,83.27
5/15/2015,84.4
5/18/2015,82.66
5/19/2015,82.51
5/20/2015,82.15
5/21/2015,83.21
5/22/2015,82.77
5/25/2015,83.65
5/26/2015,84.29
5/27/2015,83.78
5/28/2015,83.15
5/29/2015,84.74
6/1/2015,84.13
6/2/2015,82.66
6/3/2015,81.23
6/4/2015,80.21
6/5/2015,79.96
6/9/2015,79.49
6/10/2015,79.58
6/11/2015,81.07
6/12/2015,81.08
6/15/2015,81.55
6/16/2015,82.04
6/17/2015,83.91
6/18/2015,82.86
6/19/2015,84.12
6/22/2015,84.67
6/23/2015,86.4
6/24/2015,86.83
6/25/2015,86.93
6/26/2015,86.29
6/29/2015,84.34
6/30/2015,84.78
7/1/2015,85.66
7/2/2015,87.09
7/3/2015,86.3
7/6/2015,85.94
7/7/2015,87.33
7/8/2015,85.41
7/9/2015,85.25
7/10/2015,85.43
7/13/2015,84.83
7/14/2015,85.89
7/15/2015,86.76
7/16/2015,87.6
7/17/2015,87.62
7/20/2015,87.99
7/21/2015,87.74
7/22/2015,86.27
7/23/2015,85.94
7/24/2015,85.45
7/27/2015,85.73
7/28/2015,85.99
7/29/2015,86.24
7/30/2015,86.72
7/31/2015,87.2
8/3/2015,87.01
8/4/2015,87.67
8/5/2015,87.01
8/6/2015,84.2
8/7/2015,80.96
8/10/2015,81.8
8/11/2015,81.78
8/17/2015,81.27
8/18/2015,76.91
8/19/2015,78.27
8/20/2015,76.15
8/21/2015,75.59
8/24/2015,72.47
8/25/2015,75.08
8/26/2015,76.13
8/27/2015,76.43
8/28/2015,76.36
8/31/2015,75.08
9/1/2015,73.3
9/2/2015,73.63
9/3/2015,71.97
9/4/2015,72.15
9/7/2015,72.32
9/8/2015,74.17
9/9/2015,76.72
9/10/2015,75.13
9/14/2015,74.55
9/15/2015,73.42
9/16/2015,75.35
9/17/2015,75.59
9/18/2015,75.83
9/21/2015,73.62
9/22/2015,73.8
9/23/2015,71.6
9/24/2015,72.5
9/25/2015,71.44
9/28/2015,72.7
9/29/2015,70.15
9/30/2015,72.72
10/1/2015,74.27
10/2/2015,73.39
10/5/2015,74.36
10/6/2015,74.96
10/7/2015,75
10/8/2015,75.37
10/9/2015,75.53
10/12/2015,74.65
10/13/2015,74.23
10/14/2015,74.56
10/15/2015,75.4
10/16/2015,76.55
10/19/2015,76.43
10/20/2015,75.73
10/21/2015,75.81
10/22/2015,76.39
10/23/2015,77.35
10/26/2015,77.5
10/27/2015,77.74
10/28/2015,77.64
10/29/2015,77.17
10/30/2015,76.73
11/2/2015,75.1
11/3/2015,76.46
11/4/2015,76.58
11/5/2015,75.85
11/6/2015,76.59
11/9/2015,75.58
11/10/2015,74.76
11/11/2015,76
11/12/2015,77.4
11/13/2015,75.76
11/16/2015,74.78
11/17/2015,77.07
11/18/2015,77.84
11/19/2015,79.14
11/20/2015,79.83
11/23/2015,80.4
11/24/2015,79.64
11/25/2015,79
11/26/2015,80.22
11/27/2015,80.12
11/30/2015,79.43
12/1/2015,80.99
12/2/2015,81.76
12/3/2015,81.5
12/4/2015,80.22
12/7/2015,80.51
12/8/2015,80.14
12/9/2015,80.29
12/10/2015,78.9
12/11/2015,78.95
12/14/2015,77.44
12/15/2015,76.87
12/16/2015,79.09
12/17/2015,80.69
12/18/2015,81.57
12/21/2015,81.92
12/22/2015,81.67
12/23/2015,82.05
12/24/2015,83.32
12/29/2015,84.5
12/30/2015,85.57
12/31/2015,85.53
1/4/2016,84.46
1/5/2016,83.11
1/6/2016,82.11
1/7/2016,80.41
1/8/2016,79.42
1/11/2016,78.64
1/12/2016,79.39
1/13/2016,81
1/14/2016,79.42
1/15/2016,78.88
1/18/2016,78.39
1/19/2016,79.19
1/20/2016,77.61
1/21/2016,76.81
1/22/2016,76.56
1/25/2016,79
1/27/2016,77.6
1/28/2016,77.83
1/29/2016,78.67
2/1/2016,78.22
2/2/2016,78.02
2/3/2016,75.73
2/4/2016,77.36
2/5/2016,76.6
2/8/2016,76.38
2/9/2016,72.87
2/10/2016,74.2
2/11/2016,74.3
2/12/2016,73.33
2/15/2016,74.3
2/16/2016,72.6
2/17/2016,72.33
2/18/2016,74.28
2/19/2016,73.43
2/22/2016,74.24
2/23/2016,73.28
2/24/2016,71.26
2/25/2016,71
2/26/2016,70.72
2/29/2016,70.14
3/1/2016,71.41
3/2/2016,73.94
3/3/2016,74.91
3/4/2016,75.74
3/7/2016,76.89
3/8/2016,75.45
3/9/2016,76.31
3/10/2016,76.14
3/11/2016,76.37
3/14/2016,76.86
3/15/2016,75.45
3/16/2016,76.04
3/17/2016,77.38
3/18/2016,78.16
3/21/2016,77.14
3/22/2016,76.91
3/23/2016,76.7
3/24/2016,74.82
3/29/2016,73.12
3/30/2016,73.31
3/31/2016,74.92
4/1/2016,72.99
4/4/2016,72.92
4/5/2016,71.25
4/6/2016,71.15
4/7/2016,70.99
