Date,Close
3/2/2015,3.08
3/3/2015,3.05
3/4/2015,3.06
3/5/2015,3.08
3/6/2015,3.06
3/9/2015,2.98
3/10/2015,3.09
3/11/2015,3.13
3/12/2015,3.22
3/13/2015,3.26
3/16/2015,3.27
3/17/2015,3.22
3/18/2015,3.25
3/19/2015,3.22
3/20/2015,3.28
3/23/2015,3.24
3/24/2015,3.18
3/25/2015,3.22
3/26/2015,3.1
3/27/2015,3.14
3/30/2015,3.21
3/31/2015,3.32
4/1/2015,3.4
4/2/2015,3.47
4/7/2015,3.45
4/8/2015,3.41
4/9/2015,3.53
4/10/2015,3.56
4/13/2015,3.55
4/14/2015,3.66
4/15/2015,3.62
4/16/2015,3.54
4/17/2015,3.53
4/20/2015,3.47
4/21/2015,3.53
4/22/2015,3.58
4/23/2015,3.56
4/24/2015,3.61
4/27/2015,3.6
4/28/2015,3.51
4/29/2015,3.45
4/30/2015,3.61
5/1/2015,3.62
5/4/2015,3.61
5/6/2015,3.51
5/7/2015,3.43
5/8/2015,3.62
5/11/2015,3.54
5/12/2015,3.79
5/13/2015,3.81
5/14/2015,3.92
5/15/2015,3.83
5/18/2015,3.79
5/19/2015,3.76
5/20/2015,3.83
5/21/2015,3.78
5/22/2015,3.67
5/25/2015,3.72
5/26/2015,3.76
5/27/2015,3.73
5/28/2015,3.67
5/29/2015,3.75
6/1/2015,3.75
6/2/2015,3.62
6/3/2015,3.51
6/4/2015,3.41
6/5/2015,3.47
6/9/2015,3.45
6/10/2015,3.44
6/11/2015,3.43
6/12/2015,3.43
6/15/2015,3.44
6/16/2015,3.43
6/17/2015,3.44
6/18/2015,3.34
6/19/2015,3.39
6/22/2015,3.4
6/23/2015,3.42
6/24/2015,3.46
6/25/2015,3.45
6/26/2015,3.32
6/29/2015,3.22
6/30/2015,3.37
7/1/2015,3.47
7/2/2015,3.48
7/3/2015,3.41
7/6/2015,3.39
7/7/2015,3.65
7/8/2015,3.57
7/9/2015,3.62
7/10/2015,3.55
7/13/2015,3.67
7/14/2015,3.77
7/15/2015,3.76
7/16/2015,3.81
7/17/2015,3.87
7/20/2015,3.88
7/21/2015,3.89
7/22/2015,3.89
7/23/2015,3.99
7/24/2015,3.93
7/27/2015,4.01
7/28/2015,3.99
7/29/2015,4.05
7/30/2015,3.98
7/31/2015,3.99
8/3/2015,3.95
8/4/2015,4.1
8/5/2015,4.08
8/6/2015,4.09
8/7/2015,4.01
8/10/2015,4.12
8/11/2015,4
8/12/2015,3.99
8/13/2015,3.9
8/14/2015,3.96
8/17/2015,4
8/18/2015,4.04
8/19/2015,4
8/20/2015,3.76
8/21/2015,3.67
8/24/2015,3.51
8/25/2015,3.72
8/26/2015,3.82
8/27/2015,3.76
8/28/2015,3.61
8/31/2015,3.58
9/1/2015,3.7
9/2/2015,3.73
9/3/2015,3.65
9/4/2015,3.7
9/7/2015,3.76
9/8/2015,3.76
9/9/2015,3.77
9/10/2015,3.77
9/11/2015,3.77
9/14/2015,3.83
9/15/2015,3.8
9/16/2015,3.89
9/17/2015,3.91
9/18/2015,3.87
9/21/2015,3.9
9/22/2015,3.92
9/23/2015,3.93
9/24/2015,4.03
9/25/2015,3.93
9/28/2015,4.04
9/29/2015,3.95
9/30/2015,3.96
10/1/2015,4.07
10/2/2015,4.07
10/5/2015,4.14
10/6/2015,4.11
10/7/2015,3.96
10/8/2015,3.83
10/9/2015,3.87
10/12/2015,3.81
10/13/2015,3.97
10/14/2015,4.05
10/15/2015,4.12
10/16/2015,4.16
10/19/2015,4.13
10/20/2015,4.2
10/21/2015,4.15
10/22/2015,4.11
10/23/2015,4.11
10/26/2015,4.15
10/27/2015,3.91
10/28/2015,4.03
10/29/2015,4
10/30/2015,3.95
11/2/2015,3.84
11/3/2015,3.82
11/4/2015,3.83
11/5/2015,3.75
11/6/2015,3.71
11/9/2015,3.71
11/10/2015,3.66
11/11/2015,3.65
11/12/2015,3.67
11/13/2015,3.61
11/16/2015,3.55
11/17/2015,3.76
11/18/2015,3.86
11/19/2015,3.85
11/20/2015,3.8
11/23/2015,3.79
11/24/2015,3.69
11/25/2015,3.63
11/26/2015,3.63
11/27/2015,3.78
11/30/2015,3.64
12/1/2015,3.69
12/2/2015,3.72
12/3/2015,3.74
12/4/2015,3.67
12/7/2015,3.68
12/8/2015,3.86
12/9/2015,3.86
12/10/2015,3.86
12/11/2015,3.83
12/14/2015,3.78
12/15/2015,3.69
12/16/2015,3.8
12/17/2015,3.9
12/18/2015,3.91
12/21/2015,3.87
12/22/2015,3.9
12/23/2015,4.02
12/24/2015,4
12/29/2015,4.08
12/30/2015,4.14
12/31/2015,4.09
1/4/2016,4.09
1/5/2016,4.07
1/6/2016,4.03
1/7/2016,4.08
1/8/2016,4.06
1/11/2016,3.98
1/12/2016,4.07
1/13/2016,4.11
1/14/2016,4.09
1/15/2016,4.04
1/18/2016,4.01
1/19/2016,4.04
1/20/2016,4
1/21/2016,3.93
1/22/2016,3.97
1/25/2016,3.86
1/27/2016,3.84
1/28/2016,3.82
1/29/2016,3.88
2/1/2016,3.97
2/2/2016,3.98
2/3/2016,3.9
2/4/2016,3.86
2/5/2016,3.83
2/8/2016,3.79
2/9/2016,3.76
2/10/2016,3.75
2/11/2016,3.83
2/12/2016,3.82
2/15/2016,3.86
2/16/2016,3.92
2/17/2016,3.92
2/18/2016,3.95
2/19/2016,3.96
2/22/2016,3.99
2/23/2016,3.79
2/24/2016,3.97
2/25/2016,3.9
2/26/2016,3.87
2/29/2016,3.86
3/1/2016,3.89
3/2/2016,3.88
3/3/2016,3.83
3/4/2016,3.72
3/7/2016,3.79
3/8/2016,3.8
3/9/2016,3.86
3/10/2016,3.86
3/11/2016,3.96
3/14/2016,4.07
3/15/2016,4.06
3/16/2016,4.14
3/17/2016,4.12
3/18/2016,4.01
3/21/2016,4.05
3/22/2016,4.07
3/23/2016,4.07
3/24/2016,4.07
3/29/2016,4.03
3/30/2016,3.97
3/31/2016,4.07
4/1/2016,4.14
4/4/2016,4.16
4/5/2016,4.05
4/6/2016,4.11
4/7/2016,4.03
4/8/2016,3.99
4/11/2016,3.99
4/12/2016,4.01
4/13/2016,3.97
4/14/2016,4.01
4/15/2016,4.06
4/18/2016,3.62
4/19/2016,3.47
4/20/2016,3.52
4/21/2016,3.42
4/22/2016,3.37
4/26/2016,3.21
4/27/2016,3.34
4/28/2016,3.27
4/29/2016,3.22
5/2/2016,3.23
5/3/2016,3.32
5/4/2016,3.38
5/5/2016,3.4
5/6/2016,3.32
5/9/2016,3.33
5/10/2016,3.41
5/11/2016,3.41
5/12/2016,3.37
5/13/2016,3.28
5/16/2016,3.4
5/17/2016,3.39
5/18/2016,3.31
5/19/2016,3.24
5/20/2016,3.25
5/23/2016,3.2
5/24/2016,3.1
5/25/2016,3.16
5/26/2016,3.12
5/27/2016,3
5/30/2016,3.1
5/31/2016,3.08
6/1/2016,3.1
6/2/2016,3
6/3/2016,2.92
6/6/2016,2.92
6/7/2016,2.93
6/8/2016,3.04
6/9/2016,3.01
6/10/2016,3
6/14/2016,2.86
6/15/2016,2.87
6/16/2016,2.85
6/17/2016,2.92
6/20/2016,2.91
6/21/2016,2.93
6/22/2016,2.96
6/23/2016,2.91
6/24/2016,2.75
6/27/2016,2.73
6/28/2016,2.61
6/29/2016,2.77
6/30/2016,2.82
7/1/2016,2.76
7/4/2016,2.81
7/5/2016,2.79
7/6/2016,2.75
7/7/2016,2.78
7/8/2016,2.8
7/11/2016,2.84
7/12/2016,2.93
7/13/2016,2.99
7/14/2016,3.02
7/15/2016,3.07
7/18/2016,3.09
7/19/2016,3.08
7/20/2016,3.13
7/21/2016,3.1
7/22/2016,3.01
7/25/2016,3.01
7/26/2016,3.03
7/27/2016,3.02
7/28/2016,3.07
7/29/2016,3.16
8/1/2016,3.17
8/2/2016,3.21
8/3/2016,3.14
8/4/2016,3.14
8/5/2016,3.14
8/8/2016,3.19
8/9/2016,3.17
8/10/2016,3.16
8/11/2016,3.21
8/12/2016,3.21
8/15/2016,3.34
8/16/2016,3.34
8/17/2016,3.35
8/18/2016,3.37
8/19/2016,3.36
8/22/2016,3.43
8/23/2016,3.4
8/24/2016,3.45
8/25/2016,3.36
8/26/2016,3.35
8/29/2016,3.29
8/30/2016,3.24
8/31/2016,3.24
9/1/2016,3.27
9/2/2016,3.26
9/5/2016,3.28
9/6/2016,3.39
9/7/2016,3.39
9/8/2016,3.33
9/9/2016,3.31
9/12/2016,3.26
9/13/2016,3.29
9/14/2016,3.3
9/15/2016,3.25
9/16/2016,3.21
9/19/2016,3.2
9/20/2016,3.15
9/21/2016,3.17
9/22/2016,3.18
9/23/2016,3.23
9/26/2016,3.24
9/27/2016,3.17
9/28/2016,3.14
9/29/2016,3.13
9/30/2016,3.12
10/3/2016,3.14
10/4/2016,3.18
10/5/2016,3.16
10/6/2016,3.16
10/7/2016,3.15
10/10/2016,3.18
10/11/2016,3.14
10/12/2016,3.13
10/13/2016,3.16
10/14/2016,3.24
10/17/2016,3.19
10/18/2016,3.14
10/19/2016,3.21
10/20/2016,3.26
10/21/2016,3.25
10/24/2016,3.23
10/25/2016,3.17
10/26/2016,3.06
10/27/2016,3.05
10/28/2016,2.94
10/31/2016,3.06
11/1/2016,2.99
11/2/2016,2.95
11/3/2016,2.99
11/4/2016,2.92
11/7/2016,3
11/8/2016,2.98
11/9/2016,2.93
11/10/2016,3.02
11/11/2016,3.1
11/14/2016,3.1
11/15/2016,3.17
11/16/2016,3.15
11/17/2016,3.11
11/18/2016,3.12
11/21/2016,3.1
11/22/2016,3.17
11/23/2016,3.25
11/24/2016,3.21
11/25/2016,3.22
11/28/2016,3.19
11/29/2016,3.18
11/30/2016,3.3
12/1/2016,3.22
12/2/2016,3.26
12/5/2016,3.17
12/6/2016,3.21
12/7/2016,3.27
12/8/2016,3.38
12/9/2016,3.43
12/12/2016,3.32
12/13/2016,3.27
12/14/2016,3.32
12/15/2016,3.36
12/16/2016,3.32
12/19/2016,3.36
12/20/2016,3.37
12/21/2016,3.37
12/22/2016,3.37
12/23/2016,3.38
12/28/2016,3.39
12/29/2016,3.38
12/30/2016,3.33
1/3/2017,3.38
1/4/2017,3.34
1/5/2017,3.34
1/6/2017,3.33
1/9/2017,3.35
1/10/2017,3.35
1/11/2017,3.4
1/12/2017,3.51
1/13/2017,3.53
1/16/2017,3.54
1/17/2017,3.53
1/18/2017,3.43
1/19/2017,3.47
1/20/2017,3.47
1/23/2017,3.43
1/24/2017,3.43
1/25/2017,3.5
1/27/2017,3.53
1/30/2017,3.49
1/31/2017,3.41
2/1/2017,3.34
2/2/2017,3.3
2/3/2017,3.25
2/6/2017,3.28
2/7/2017,3.33
2/8/2017,3.38
2/9/2017,3.35
2/10/2017,3.38
2/13/2017,3.4
2/14/2017,3.4
2/15/2017,3.48
2/16/2017,3.47
2/17/2017,3.48
2/20/2017,3.48
2/21/2017,3.48
2/22/2017,3.55
2/23/2017,3.74
2/24/2017,3.7
2/27/2017,3.7
2/28/2017,3.75
3/1/2017,3.75
3/2/2017,3.78
3/3/2017,3.73
3/6/2017,3.75
3/7/2017,3.7
3/8/2017,3.71
3/9/2017,3.75
3/10/2017,3.81
3/13/2017,3.88
3/14/2017,3.84
3/15/2017,3.8
3/16/2017,3.76
3/17/2017,3.79
3/20/2017,3.81
3/21/2017,3.84
3/22/2017,3.82
3/23/2017,3.86
3/24/2017,3.89
3/27/2017,3.92
3/28/2017,3.98
3/29/2017,4
3/30/2017,3.98
3/31/2017,3.89
4/3/2017,3.9
4/4/2017,3.92
4/5/2017,3.94
4/6/2017,3.97
4/7/2017,3.92
4/10/2017,3.94
4/11/2017,3.92
4/12/2017,3.95
4/13/2017,3.9
4/18/2017,3.91
4/19/2017,3.94
4/20/2017,3.95
4/21/2017,3.94
4/24/2017,3.97
4/26/2017,4.01
4/27/2017,4.21
4/28/2017,4.24
5/1/2017,4.35
5/2/2017,4.36
5/3/2017,4.36
5/4/2017,4.42
5/5/2017,4.52
5/8/2017,4.66
5/9/2017,4.73
5/10/2017,4.77
5/11/2017,4.81
5/12/2017,4.74
5/15/2017,4.78
5/16/2017,4.92
5/17/2017,4.87
5/18/2017,4.81
5/19/2017,4.86
5/22/2017,4.91
5/23/2017,4.86
5/24/2017,4.84
5/25/2017,5.01
5/26/2017,4.96
5/29/2017,5
5/30/2017,4.98
5/31/2017,5.01
6/1/2017,5.07
6/2/2017,5.16
6/5/2017,5.08
6/6/2017,5.09
6/7/2017,5.11
6/8/2017,5.15
6/9/2017,5.32
6/13/2017,5.37
6/14/2017,5.45
6/15/2017,5.42
6/16/2017,5.5
6/19/2017,5.51
6/20/2017,5.5
6/21/2017,5.5
6/22/2017,5.58
6/23/2017,5.58
